experiment_type,ensemble_name,member_key,feature_config,model_name,prep_kind,n_members,n_columns,fit_seconds,status,error,split,threshold_strategy,top_fraction,n_flagged,positives_captured,precision_at_k,recall_at_k,base_rate,lift
history_heterogeneous_ensemble,rank_average_top8_heterogeneous,XGBoost_depth4_spw1|XGBoost_depth3_spw025|HistGB_targetenc_balanced|LightGBM_leaves31_spw1|LightGBM_leaves63_spw015|LightGBM_leaves31_spw025|RandomForest_ordinal_balanced|ExtraTrees_ordinal_balanced,history_heterogeneous_indicator_cat_interactions,rank_average,mixed,8,199,0.0,ok,,test,ranking,0.05,742,237,0.3194070080862534,0.14495412844036698,0.1102643647154033,2.896738297188358
history_heterogeneous_ensemble,rank_average_top8_heterogeneous,XGBoost_depth4_spw1|XGBoost_depth3_spw025|HistGB_targetenc_balanced|LightGBM_leaves31_spw1|LightGBM_leaves63_spw015|LightGBM_leaves31_spw025|RandomForest_ordinal_balanced|ExtraTrees_ordinal_balanced,history_heterogeneous_indicator_cat_interactions,rank_average,mixed,8,199,0.0,ok,,test,ranking,0.1,1483,407,0.2744436952124073,0.2489296636085627,0.1102643647154033,2.4889609251434712
history_heterogeneous_ensemble,rank_average_top8_heterogeneous,XGBoost_depth4_spw1|XGBoost_depth3_spw025|HistGB_targetenc_balanced|LightGBM_leaves31_spw1|LightGBM_leaves63_spw015|LightGBM_leaves31_spw025|RandomForest_ordinal_balanced|ExtraTrees_ordinal_balanced,history_heterogeneous_indicator_cat_interactions,rank_average,mixed,8,199,0.0,ok,,test,ranking,0.2,2966,648,0.21847606203641268,0.3963302752293578,0.1102643647154033,1.9813841271412398
history_heterogeneous_stacker,logistic_stack_top3_C0.1,XGBoost_depth4_spw1|XGBoost_depth3_spw025|HistGB_targetenc_balanced,history_heterogeneous_indicator_cat_interactions,LogisticStacker,stacked,3,199,0.0,ok,,test,ranking,0.01,149,68,0.4563758389261745,0.04159021406727829,0.1102643647154033,4.138924122077869
history_heterogeneous_stacker,logistic_stack_top3_C0.1,XGBoost_depth4_spw1|XGBoost_depth3_spw025|HistGB_targetenc_balanced,history_heterogeneous_indicator_cat_interactions,LogisticStacker,stacked,3,199,0.0,ok,,test,ranking,0.05,742,248,0.33423180592991913,0.15168195718654434,0.1102643647154033,3.0311860662561716
history_heterogeneous_stacker,logistic_stack_top3_C0.1,XGBoost_depth4_spw1|XGBoost_depth3_spw025|HistGB_targetenc_balanced,history_heterogeneous_indicator_cat_interactions,LogisticStacker,stacked,3,199,0.0,ok,,test,ranking,0.1,1483,398,0.2683749157113958,0.2434250764525994,0.1102643647154033,2.4339224771673256
history_heterogeneous_stacker,logistic_stack_top3_C0.1,XGBoost_depth4_spw1|XGBoost_depth3_spw025|HistGB_targetenc_balanced,history_heterogeneous_indicator_cat_interactions,LogisticStacker,stacked,3,199,0.0,ok,,test,ranking,0.2,2966,661,0.22285906945380984,0.40428134556574924,0.1102643647154033,2.0211341173462336
history_heterogeneous_stacker,logistic_stack_top3_C1,XGBoost_depth4_spw1|XGBoost_depth3_spw025|HistGB_targetenc_balanced,history_heterogeneous_indicator_cat_interactions,LogisticStacker,stacked,3,199,0.0,ok,,test,ranking,0.01,149,68,0.4563758389261745,0.04159021406727829,0.1102643647154033,4.138924122077869
history_heterogeneous_stacker,logistic_stack_top3_C1,XGBoost_depth4_spw1|XGBoost_depth3_spw025|HistGB_targetenc_balanced,history_heterogeneous_indicator_cat_interactions,LogisticStacker,stacked,3,199,0.0,ok,,test,ranking,0.05,742,248,0.33423180592991913,0.15168195718654434,0.1102643647154033,3.0311860662561716
history_heterogeneous_stacker,logistic_stack_top3_C1,XGBoost_depth4_spw1|XGBoost_depth3_spw025|HistGB_targetenc_balanced,history_heterogeneous_indicator_cat_interactions,LogisticStacker,stacked,3,199,0.0,ok,,test,ranking,0.1,1483,403,0.2717464598786244,0.24648318042813455,0.1102643647154033,2.4644993927096284
