experiment_type,ensemble_name,member_key,feature_config,model_name,row_order_seed,model_seed,random_strength,l2_leaf_reg,n_members,train_subset_rows,n_columns,fit_seconds,best_iteration,split,threshold_strategy,top_fraction,n_flagged,positives_captured,precision_at_k,recall_at_k,base_rate,lift
history_catboost_order_sensitivity_member,,OrderCat_same_seed_331,history_order_sensitivity_indicator_cat_interactions,OrderCat_same_seed_331,331,331,1.0,10.0,1,69444.0,199,60.46825783397071,1153.0,test,ranking,0.05,742,251,0.33827493261455527,0.15351681957186544,0.1102643647154033,3.067853639638303
history_catboost_order_sensitivity_member,,OrderCat_same_seed_331,history_order_sensitivity_indicator_cat_interactions,OrderCat_same_seed_331,331,331,1.0,10.0,1,69444.0,199,60.46825783397071,1153.0,test,ranking,0.1,1483,406,0.2737693863789616,0.24831804281345565,0.1102643647154033,2.4828455420350104
history_catboost_order_sensitivity_member,,OrderCat_same_seed_331,history_order_sensitivity_indicator_cat_interactions,OrderCat_same_seed_331,331,331,1.0,10.0,1,69444.0,199,60.46825783397071,1153.0,test,ranking,0.2,2966,662,0.2231962238705327,0.40489296636085625,0.1102643647154033,2.024191808900464
history_catboost_order_sensitivity_member,,OrderCat_row37_model202,history_order_sensitivity_indicator_cat_interactions,OrderCat_row37_model202,37,202,1.0,10.0,1,69444.0,199,69.76382312504575,1427.0,test,ranking,0.01,149,75,0.5033557046979866,0.045871559633027525,0.1102643647154033,4.564989840527061
history_catboost_order_sensitivity_member,,OrderCat_row37_model202,history_order_sensitivity_indicator_cat_interactions,OrderCat_row37_model202,37,202,1.0,10.0,1,69444.0,199,69.76382312504575,1427.0,test,ranking,0.05,742,255,0.3436657681940701,0.1559633027522936,0.1102643647154033,3.116743737481144
history_catboost_order_sensitivity_member,,OrderCat_row37_model202,history_order_sensitivity_indicator_cat_interactions,OrderCat_row37_model202,37,202,1.0,10.0,1,69444.0,199,69.76382312504575,1427.0,test,ranking,0.1,1483,406,0.2737693863789616,0.24831804281345565,0.1102643647154033,2.4828455420350104
history_catboost_order_sensitivity_member,,OrderCat_row37_model202,history_order_sensitivity_indicator_cat_interactions,OrderCat_row37_model202,37,202,1.0,10.0,1,69444.0,199,69.76382312504575,1427.0,test,ranking,0.2,2966,663,0.22353337828725556,0.4055045871559633,0.1102643647154033,2.0272495004546944
history_catboost_order_sensitivity_member,,OrderCat_row73_model202,history_order_sensitivity_indicator_cat_interactions,OrderCat_row73_model202,73,202,1.0,10.0,1,69444.0,199,69.28737637505401,1432.0,test,ranking,0.01,149,78,0.5234899328859061,0.047706422018348627,0.1102643647154033,4.747589434148144
history_catboost_order_sensitivity_member,,OrderCat_row73_model202,history_order_sensitivity_indicator_cat_interactions,OrderCat_row73_model202,73,202,1.0,10.0,1,69444.0,199,69.28737637505401,1432.0,test,ranking,0.05,742,253,0.34097035040431267,0.1547400611620795,0.1102643647154033,3.0922986885597235
history_catboost_order_sensitivity_member,,OrderCat_row73_model202,history_order_sensitivity_indicator_cat_interactions,OrderCat_row73_model202,73,202,1.0,10.0,1,69444.0,199,69.28737637505401,1432.0,test,ranking,0.1,1483,404,0.2724207687120701,0.2470948012232416,0.1102643647154033,2.4706147758180887
history_catboost_order_sensitivity_member,,OrderCat_row73_model202,history_order_sensitivity_indicator_cat_interactions,OrderCat_row73_model202,73,202,1.0,10.0,1,69444.0,199,69.28737637505401,1432.0,test,ranking,0.2,2966,664,0.22387053270397841,0.40611620795107034,0.1102643647154033,2.030307192008925
history_catboost_order_sensitivity_member,,OrderCat_row131_model202,history_order_sensitivity_indicator_cat_interactions,OrderCat_row131_model202,131,202,1.0,10.0,1,69444.0,199,69.68043954204768,1471.0,test,ranking,0.01,149,78,0.5234899328859061,0.047706422018348627,0.1102643647154033,4.747589434148144
history_catboost_order_sensitivity_member,,OrderCat_row131_model202,history_order_sensitivity_indicator_cat_interactions,OrderCat_row131_model202,131,202,1.0,10.0,1,69444.0,199,69.68043954204768,1471.0,test,ranking,0.05,742,251,0.33827493261455527,0.15351681957186544,0.1102643647154033,3.067853639638303
history_catboost_order_sensitivity_member,,OrderCat_row131_model202,history_order_sensitivity_indicator_cat_interactions,OrderCat_row131_model202,131,202,1.0,10.0,1,69444.0,199,69.68043954204768,1471.0,test,ranking,0.1,1483,409,0.27579231287929873,0.25015290519877675,0.1102643647154033,2.5011916913603924
history_catboost_order_sensitivity_member,,OrderCat_row131_model202,history_order_sensitivity_indicator_cat_interactions,OrderCat_row131_model202,131,202,1.0,10.0,1,69444.0,199,69.68043954204768,1471.0,test,ranking,0.2,2966,667,0.224881995954147,0.40795107033639144,0.1102643647154033,2.0394802666716156
history_catboost_order_sensitivity_member,,OrderCat_row313_model202,history_order_sensitivity_indicator_cat_interactions,OrderCat_row313_model202,313,202,1.0,10.0,1,69444.0,199,66.15096700005233,1287.0,test,ranking,0.01,149,79,0.5302013422818792,0.048318042813455656,0.1102643647154033,4.808455965355171
history_catboost_order_sensitivity_member,,OrderCat_row313_model202,history_order_sensitivity_indicator_cat_interactions,OrderCat_row313_model202,313,202,1.0,10.0,1,69444.0,199,66.15096700005233,1287.0,test,ranking,0.05,742,244,0.3288409703504043,0.1492354740061162,0.1102643647154033,2.9822959684133306
history_catboost_order_sensitivity_member,,OrderCat_row313_model202,history_order_sensitivity_indicator_cat_interactions,OrderCat_row313_model202,313,202,1.0,10.0,1,69444.0,199,66.15096700005233,1287.0,test,ranking,0.1,1483,404,0.2724207687120701,0.2470948012232416,0.1102643647154033,2.4706147758180887
history_catboost_order_sensitivity_member,,OrderCat_row313_model202,history_order_sensitivity_indicator_cat_interactions,OrderCat_row313_model202,313,202,1.0,10.0,1,69444.0,199,66.15096700005233,1287.0,test,ranking,0.2,2966,661,0.22285906945380984,0.40428134556574924,0.1102643647154033,2.0211341173462336
history_catboost_order_sensitivity_member,,OrderCat_row404_model202,history_order_sensitivity_indicator_cat_interactions,OrderCat_row404_model202,404,202,1.0,10.0,1,69444.0,199,67.73833670804743,1304.0,test,ranking,0.01,149,77,0.5167785234899329,0.04709480122324159,0.1102643647154033,4.686722902941116
history_catboost_order_sensitivity_member,,OrderCat_row404_model202,history_order_sensitivity_indicator_cat_interactions,OrderCat_row404_model202,404,202,1.0,10.0,1,69444.0,199,67.73833670804743,1304.0,test,ranking,0.05,742,251,0.33827493261455527,0.15351681957186544,0.1102643647154033,3.067853639638303
history_catboost_order_sensitivity_member,,OrderCat_row404_model202,history_order_sensitivity_indicator_cat_interactions,OrderCat_row404_model202,404,202,1.0,10.0,1,69444.0,199,67.73833670804743,1304.0,test,ranking,0.1,1483,405,0.2730950775455158,0.24770642201834864,0.1102643647154033,2.4767301589265496
history_catboost_order_sensitivity_member,,OrderCat_row404_model202,history_order_sensitivity_indicator_cat_interactions,OrderCat_row404_model202,404,202,1.0,10.0,1,69444.0,199,67.73833670804743,1304.0,test,ranking,0.2,2966,660,0.222521915037087,0.4036697247706422,0.1102643647154033,2.0180764257920036
history_catboost_order_sensitivity_member,,OrderCat_row515_model202,history_order_sensitivity_indicator_cat_interactions,OrderCat_row515_model202,515,202,1.0,10.0,1,69444.0,199,73.46365583396982,1465.0,test,ranking,0.01,149,80,0.5369127516778524,0.04892966360856269,0.1102643647154033,4.869322496562198
history_catboost_order_sensitivity_member,,OrderCat_row515_model202,history_order_sensitivity_indicator_cat_interactions,OrderCat_row515_model202,515,202,1.0,10.0,1,69444.0,199,73.46365583396982,1465.0,test,ranking,0.05,742,243,0.3274932614555256,0.14862385321100918,0.1102643647154033,2.9700734439526197
