split,experiment_type,feature_config,model_name,row_order_seed,model_seed,negative_ratio,bootstrap_type,bagging_temperature,subsample,boosting_type,random_strength,l2_leaf_reg,train_subset_rows,n_columns,fit_seconds,best_iteration,status,error,threshold_strategy,top_fraction,n_flagged,positives_captured,precision_at_k,recall_at_k,base_rate,lift
test,history_catboost_bootstrap_search,history_bootstrap_indicator_cat_interactions,BootstrapCat_full_bernoulli_sub0.9,202,202,-1.0,Bernoulli,,0.9,Default,1.0,10.0,69444,199,73.38615845795721,1475,ok,,ranking,0.1,1483,414,0.2791638570465273,0.25321100917431194,0.1102643647154033,2.5317686069026952
test,history_catboost_bootstrap_search,history_bootstrap_indicator_cat_interactions,BootstrapCat_full_bernoulli_sub0.9,202,202,-1.0,Bernoulli,,0.9,Default,1.0,10.0,69444,199,73.38615845795721,1475,ok,,ranking,0.2,2966,659,0.22218476062036413,0.40305810397553515,0.1102643647154033,2.0150187342377732
test,history_catboost_bootstrap_search,history_bootstrap_indicator_cat_interactions,BootstrapCat_full_mvs_sub0.8,202,202,-1.0,MVS,,0.8,Default,1.0,10.0,69444,199,69.4931636248948,1436,ok,,ranking,0.01,149,79,0.5302013422818792,0.048318042813455656,0.1102643647154033,4.808455965355171
test,history_catboost_bootstrap_search,history_bootstrap_indicator_cat_interactions,BootstrapCat_full_mvs_sub0.8,202,202,-1.0,MVS,,0.8,Default,1.0,10.0,69444,199,69.4931636248948,1436,ok,,ranking,0.05,742,252,0.33962264150943394,0.15412844036697249,0.1102643647154033,3.080076164099013
test,history_catboost_bootstrap_search,history_bootstrap_indicator_cat_interactions,BootstrapCat_full_mvs_sub0.8,202,202,-1.0,MVS,,0.8,Default,1.0,10.0,69444,199,69.4931636248948,1436,ok,,ranking,0.1,1483,411,0.27714093054619016,0.25137614678899084,0.1102643647154033,2.5134224575773136
test,history_catboost_bootstrap_search,history_bootstrap_indicator_cat_interactions,BootstrapCat_full_mvs_sub0.8,202,202,-1.0,MVS,,0.8,Default,1.0,10.0,69444,199,69.4931636248948,1436,ok,,ranking,0.2,2966,664,0.22387053270397841,0.40611620795107034,0.1102643647154033,2.030307192008925
test,history_catboost_bootstrap_search,history_bootstrap_indicator_cat_interactions,BootstrapCat_full_mvs_sub0.9,202,202,-1.0,MVS,,0.9,Default,1.0,10.0,69444,199,73.6105871249456,1499,ok,,ranking,0.01,149,77,0.5167785234899329,0.04709480122324159,0.1102643647154033,4.686722902941116
test,history_catboost_bootstrap_search,history_bootstrap_indicator_cat_interactions,BootstrapCat_full_mvs_sub0.9,202,202,-1.0,MVS,,0.9,Default,1.0,10.0,69444,199,73.6105871249456,1499,ok,,ranking,0.05,742,251,0.33827493261455527,0.15351681957186544,0.1102643647154033,3.067853639638303
test,history_catboost_bootstrap_search,history_bootstrap_indicator_cat_interactions,BootstrapCat_full_mvs_sub0.9,202,202,-1.0,MVS,,0.9,Default,1.0,10.0,69444,199,73.6105871249456,1499,ok,,ranking,0.1,1483,412,0.27781523937963587,0.25198776758409785,0.1102643647154033,2.519537840685774
test,history_catboost_bootstrap_search,history_bootstrap_indicator_cat_interactions,BootstrapCat_full_mvs_sub0.9,202,202,-1.0,MVS,,0.9,Default,1.0,10.0,69444,199,73.6105871249456,1499,ok,,ranking,0.2,2966,665,0.22420768712070127,0.40672782874617736,0.1102643647154033,2.033364883563155
