threshold,pr_auc,roc_auc,recall,precision,f1,accuracy,tn,fp,fn,tp,experiment_type,feature_config,model_name,seed,depth,learning_rate,l2_leaf_reg,iterations,random_strength,bootstrap_type,n_columns,fit_seconds,best_iteration,split,threshold_strategy
0.14555658743749791,0.2842031171866088,0.7088601561975345,0.4592467678471051,0.2583807716635041,0.33070228698644,0.7805719593922102,10947,2345,962,817,history_catboost_seed_sweep,history_seed_sweep_indicator_cat_interactions,SeedSweep_d6_lr002_l210_seed101,101,6,0.02,10.0,1400,1.0,Default,199,65.30562491703313,1395,validation,best_f1
0.09342598470257774,0.2842031171866088,0.7088601561975345,0.7419898819561551,0.1819184123484013,0.29219701162147205,0.5756751376816402,7356,5936,459,1320,history_catboost_seed_sweep,history_seed_sweep_indicator_cat_interactions,SeedSweep_d6_lr002_l210_seed101,101,6,0.02,10.0,1400,1.0,Default,199,65.30562491703313,1395,validation,best_f2
0.040819062675352534,0.2842031171866088,0.7088601561975345,0.9943788645306352,0.12000542704022793,0.21416464891041162,0.13861057660407405,320,12972,10,1769,history_catboost_seed_sweep,history_seed_sweep_indicator_cat_interactions,SeedSweep_d6_lr002_l210_seed101,101,6,0.02,10.0,1400,1.0,Default,199,65.30562491703313,1395,validation,max_recall_precision_ge_0.12
0.06969580209015323,0.2842031171866088,0.7088601561975345,0.8690275435637999,0.1500097030855812,0.2558543649151841,0.4032910888461283,4532,8760,233,1546,history_catboost_seed_sweep,history_seed_sweep_indicator_cat_interactions,SeedSweep_d6_lr002_l210_seed101,101,6,0.02,10.0,1400,1.0,Default,199,65.30562491703313,1395,validation,max_recall_precision_ge_0.15
0.10653411635885868,0.2842031171866088,0.7088601561975345,0.6599213041034289,0.2,0.30696823114132565,0.6482648795700352,8596,4696,605,1174,history_catboost_seed_sweep,history_seed_sweep_indicator_cat_interactions,SeedSweep_d6_lr002_l210_seed101,101,6,0.02,10.0,1400,1.0,Default,199,65.30562491703313,1395,validation,max_recall_precision_ge_0.20
0.5,0.23837541593866438,0.682200342086701,0.031804281345565746,0.5977011494252874,0.06039488966318235,0.8908821149177232,13158,35,1583,52,history_catboost_seed_sweep,history_seed_sweep_indicator_cat_interactions,SeedSweep_d6_lr002_l210_seed101,101,6,0.02,10.0,1400,1.0,Default,199,65.30562491703313,1395,test,default_0.5
0.1366881924575011,0.23837541593866438,0.682200342086701,0.44954128440366975,0.21273516642547033,0.2888015717092338,0.755867278122471,10473,2720,900,735,history_catboost_seed_sweep,history_seed_sweep_indicator_cat_interactions,SeedSweep_d6_lr002_l210_seed101,101,6,0.02,10.0,1400,1.0,Default,199,65.30562491703313,1395,test,best_f1
0.08459811635113224,0.23837541593866438,0.682200342086701,0.7553516819571865,0.15536545477418542,0.2577212020033389,0.5202319935257621,6479,6714,400,1235,history_catboost_seed_sweep,history_seed_sweep_indicator_cat_interactions,SeedSweep_d6_lr002_l210_seed101,101,6,0.02,10.0,1400,1.0,Default,199,65.30562491703313,1395,test,best_f2
0.05210062595507931,0.23837541593866438,0.682200342086701,0.9590214067278288,0.12000612276136538,0.2133188218488538,0.22005664958187213,1695,11498,67,1568,history_catboost_seed_sweep,history_seed_sweep_indicator_cat_interactions,SeedSweep_d6_lr002_l210_seed101,101,6,0.02,10.0,1400,1.0,Default,199,65.30562491703313,1395,test,max_recall_precision_ge_0.12
0.08004059641006885,0.23837541593866438,0.682200342086701,0.7761467889908257,0.15,0.2514115898959881,0.4903560830860534,6002,7191,366,1269,history_catboost_seed_sweep,history_seed_sweep_indicator_cat_interactions,SeedSweep_d6_lr002_l210_seed101,101,6,0.02,10.0,1400,1.0,Default,199,65.30562491703313,1395,test,max_recall_precision_ge_0.15
0.125716688943131,0.23837541593866438,0.682200342086701,0.5058103975535169,0.2,0.28665511265164645,0.7224170488265443,9885,3308,808,827,history_catboost_seed_sweep,history_seed_sweep_indicator_cat_interactions,SeedSweep_d6_lr002_l210_seed101,101,6,0.02,10.0,1400,1.0,Default,199,65.30562491703313,1395,test,max_recall_precision_ge_0.20
0.5,0.2817405002513748,0.7088485688433469,0.04609331084879146,0.5616438356164384,0.0851948051948052,0.8831530754429036,13228,64,1697,82,history_catboost_seed_sweep,history_seed_sweep_indicator_cat_interactions,SeedSweep_d6_lr002_l210_seed202,202,6,0.02,10.0,1400,1.0,Default,199,67.76511370798107,1395,validation,default_0.5
0.15267738558143593,0.2817405002513748,0.7088485688433469,0.44294547498594716,0.2643408252264341,0.3310924369747899,0.7887333289098268,11099,2193,991,788,history_catboost_seed_sweep,history_seed_sweep_indicator_cat_interactions,SeedSweep_d6_lr002_l210_seed202,202,6,0.02,10.0,1400,1.0,Default,199,67.76511370798107,1395,validation,best_f1
