threshold,pr_auc,roc_auc,recall,precision,f1,accuracy,tn,fp,fn,tp,split,experiment_type,feature_config,model_name,row_order_seed,model_seed,negative_ratio,bootstrap_type,bagging_temperature,subsample,boosting_type,random_strength,l2_leaf_reg,train_subset_rows,n_columns,fit_seconds,best_iteration,status,error,threshold_strategy
0.040506859378146805,0.2812115911991272,0.7090763829930119,0.9949409780775716,0.12,0.21416903623933692,0.13814610842014466,312,12980,9,1770,validation,history_catboost_bootstrap_search,history_bootstrap_indicator_cat_interactions,BootstrapCat_full_bayesian_temp0.5,202,202,-1.0,Bayesian,0.5,,Default,1.0,10.0,69444,199,76.35738258308265,1499,ok,,max_recall_precision_ge_0.12
0.0693492487768007,0.2812115911991272,0.7090763829930119,0.8707138842046094,0.15000968429207825,0.25592730276745146,0.4023621524782695,4515,8777,230,1549,validation,history_catboost_bootstrap_search,history_bootstrap_indicator_cat_interactions,BootstrapCat_full_bayesian_temp0.5,202,202,-1.0,Bayesian,0.5,,Default,1.0,10.0,69444,199,76.35738258308265,1499,ok,,max_recall_precision_ge_0.15
0.10542885253609995,0.2812115911991272,0.7090763829930119,0.6621697582911749,0.2,0.3072108488720824,0.6474686483975848,8580,4712,601,1178,validation,history_catboost_bootstrap_search,history_bootstrap_indicator_cat_interactions,BootstrapCat_full_bayesian_temp0.5,202,202,-1.0,Bayesian,0.5,,Default,1.0,10.0,69444,199,76.35738258308265,1499,ok,,max_recall_precision_ge_0.20
0.5,0.23636066721183416,0.6814708291001321,0.02874617737003058,0.573170731707317,0.054746651135701804,0.8905449150256272,13158,35,1588,47,test,history_catboost_bootstrap_search,history_bootstrap_indicator_cat_interactions,BootstrapCat_full_bayesian_temp0.5,202,202,-1.0,Bayesian,0.5,,Default,1.0,10.0,69444,199,76.35738258308265,1499,ok,,default_0.5
0.13624927621362615,0.23636066721183416,0.6814708291001321,0.44831804281345566,0.21413964358749635,0.28983788058521154,0.7577555975182088,10503,2690,902,733,test,history_catboost_bootstrap_search,history_bootstrap_indicator_cat_interactions,BootstrapCat_full_bayesian_temp0.5,202,202,-1.0,Bayesian,0.5,,Default,1.0,10.0,69444,199,76.35738258308265,1499,ok,,best_f1
0.09072766224334623,0.23636066721183416,0.6814708291001321,0.7192660550458716,0.16356050069541028,0.2665155807365439,0.5634610196924738,7179,6014,459,1176,test,history_catboost_bootstrap_search,history_bootstrap_indicator_cat_interactions,BootstrapCat_full_bayesian_temp0.5,202,202,-1.0,Bayesian,0.5,,Default,1.0,10.0,69444,199,76.35738258308265,1499,ok,,best_f2
0.051489220592630315,0.23636066721183416,0.6814708291001321,0.962079510703364,0.12000305157155935,0.21338940514142304,0.21789857027245751,1658,11535,62,1573,test,history_catboost_bootstrap_search,history_bootstrap_indicator_cat_interactions,BootstrapCat_full_bayesian_temp0.5,202,202,-1.0,Bayesian,0.5,,Default,1.0,10.0,69444,199,76.35738258308265,1499,ok,,max_recall_precision_ge_0.12
0.07927552405992508,0.23636066721183416,0.6814708291001321,0.7804281345565749,0.15001175640724196,0.2516517108766394,0.4881980037766388,5963,7230,359,1276,test,history_catboost_bootstrap_search,history_bootstrap_indicator_cat_interactions,BootstrapCat_full_bayesian_temp0.5,202,202,-1.0,Bayesian,0.5,,Default,1.0,10.0,69444,199,76.35738258308265,1499,ok,,max_recall_precision_ge_0.15
0.12507053360085377,0.23636066721183416,0.6814708291001321,0.5009174311926605,0.2,0.2858638743455497,0.7240356083086054,9917,3276,816,819,test,history_catboost_bootstrap_search,history_bootstrap_indicator_cat_interactions,BootstrapCat_full_bayesian_temp0.5,202,202,-1.0,Bayesian,0.5,,Default,1.0,10.0,69444,199,76.35738258308265,1499,ok,,max_recall_precision_ge_0.20
0.5,0.2741316051742656,0.7068146075769116,0.032602585722315905,0.5420560747663551,0.061505832449628844,0.8825559020635658,13243,49,1721,58,validation,history_catboost_bootstrap_search,history_bootstrap_indicator_cat_interactions,BootstrapCat_full_bayesian_temp2,202,202,-1.0,Bayesian,2.0,,Default,1.0,10.0,69444,199,77.86534141702577,1490,ok,,default_0.5
