threshold,pr_auc,roc_auc,recall,precision,f1,accuracy,tn,fp,fn,tp,experiment_type,feature_config,model_name,trial_number,negative_ratio,row_order_seed,model_seed,iterations,learning_rate,depth,l2_leaf_reg,random_strength,border_count,bootstrap_type,bagging_temperature,subsample,class_weight_mode,pos_weight_multiplier,n_columns,train_subset_rows,fit_seconds,best_iteration,objective,split,threshold_strategy
0.5,0.2753213091491505,0.7078016048739287,0.05396290050590219,0.5161290322580645,0.09770992366412214,0.8823568442704531,13202,90,1683,96,history_catboost_optuna,history_optuna_indicator_cat_interactions,OptunaCat_trial002,2,6.590029598860709,149,919,2000,0.016626168052745312,5,15.878365987213053,1.2803049874792025,128,Bayesian,0.9093204020787821,,none,,199,59961,71.57974195899442,1997,validation_pr_auc,validation,default_0.5
0.17219966316433122,0.2753213091491505,0.7078016048739287,0.4564362001124227,0.25884603124003824,0.3303498779495525,0.7815672483577732,10967,2325,967,812,history_catboost_optuna,history_optuna_indicator_cat_interactions,OptunaCat_trial002,2,6.590029598860709,149,919,2000,0.016626168052745312,5,15.878365987213053,1.2803049874792025,128,Bayesian,0.9093204020787821,,none,,199,59961,71.57974195899442,1997,validation_pr_auc,validation,best_f1
0.11436303964539778,0.2753213091491505,0.7078016048739287,0.7189432265317595,0.18565829583393817,0.2951084448546378,0.5945856280273373,7682,5610,500,1279,history_catboost_optuna,history_optuna_indicator_cat_interactions,OptunaCat_trial002,2,6.590029598860709,149,919,2000,0.016626168052745312,5,15.878365987213053,1.2803049874792025,128,Bayesian,0.9093204020787821,,none,,199,59961,71.57974195899442,1997,validation_pr_auc,validation,best_f2
0.04905249005047167,0.2753213091491505,0.7078016048739287,0.9943788645306352,0.12000542704022793,0.21416464891041162,0.13861057660407405,320,12972,10,1769,history_catboost_optuna,history_optuna_indicator_cat_interactions,OptunaCat_trial002,2,6.590029598860709,149,919,2000,0.016626168052745312,5,15.878365987213053,1.2803049874792025,128,Bayesian,0.9093204020787821,,none,,199,59961,71.57974195899442,1997,validation_pr_auc,validation,max_recall_precision_ge_0.12
0.08325831052424122,0.2753213091491505,0.7078016048739287,0.8622821810005621,0.15000977899471934,0.25556018325697627,0.4070068343175635,4600,8692,245,1534,history_catboost_optuna,history_optuna_indicator_cat_interactions,OptunaCat_trial002,2,6.590029598860709,149,919,2000,0.016626168052745312,5,15.878365987213053,1.2803049874792025,128,Bayesian,0.9093204020787821,,none,,199,59961,71.57974195899442,1997,validation_pr_auc,validation,max_recall_precision_ge_0.15
0.127046145357491,0.2753213091491505,0.7078016048739287,0.6481169196177627,0.2,0.3056733828207847,0.6524450932253998,8680,4612,626,1153,history_catboost_optuna,history_optuna_indicator_cat_interactions,OptunaCat_trial002,2,6.590029598860709,149,919,2000,0.016626168052745312,5,15.878365987213053,1.2803049874792025,128,Bayesian,0.9093204020787821,,none,,199,59961,71.57974195899442,1997,validation_pr_auc,validation,max_recall_precision_ge_0.20
0.5,0.2335814238678379,0.6800839384985691,0.037920489296636085,0.5166666666666667,0.07065527065527065,0.8900053951982735,13135,58,1573,62,history_catboost_optuna,history_optuna_indicator_cat_interactions,OptunaCat_trial002,2,6.590029598860709,149,919,2000,0.016626168052745312,5,15.878365987213053,1.2803049874792025,128,Bayesian,0.9093204020787821,,none,,199,59961,71.57974195899442,1997,validation_pr_auc,test,default_0.5
0.1811069424077123,0.2335814238678379,0.6800839384985691,0.3743119266055046,0.23225806451612904,0.2866510538641686,0.7945778257350957,11170,2023,1023,612,history_catboost_optuna,history_optuna_indicator_cat_interactions,OptunaCat_trial002,2,6.590029598860709,149,919,2000,0.016626168052745312,5,15.878365987213053,1.2803049874792025,128,Bayesian,0.9093204020787821,,none,,199,59961,71.57974195899442,1997,validation_pr_auc,test,best_f1
0.10284944030796524,0.2335814238678379,0.6800839384985691,0.7437308868501529,0.15757418686017882,0.2600513259195894,0.5333153493390882,6692,6501,419,1216,history_catboost_optuna,history_optuna_indicator_cat_interactions,OptunaCat_trial002,2,6.590029598860709,149,919,2000,0.016626168052745312,5,15.878365987213053,1.2803049874792025,128,Bayesian,0.9093204020787821,,none,,199,59961,71.57974195899442,1997,validation_pr_auc,test,best_f2
0.062384442386499636,0.2335814238678379,0.6800839384985691,0.9541284403669725,0.12,0.21318756405876324,0.22342864850283248,1753,11440,75,1560,history_catboost_optuna,history_optuna_indicator_cat_interactions,OptunaCat_trial002,2,6.590029598860709,149,919,2000,0.016626168052745312,5,15.878365987213053,1.2803049874792025,128,Bayesian,0.9093204020787821,,none,,199,59961,71.57974195899442,1997,validation_pr_auc,test,max_recall_precision_ge_0.12
0.09590565276903894,0.2335814238678379,0.6800839384985691,0.7694189602446483,0.1500119246362986,0.2510727472308153,0.49386296196385215,6065,7128,377,1258,history_catboost_optuna,history_optuna_indicator_cat_interactions,OptunaCat_trial002,2,6.590029598860709,149,919,2000,0.016626168052745312,5,15.878365987213053,1.2803049874792025,128,Bayesian,0.9093204020787821,,none,,199,59961,71.57974195899442,1997,validation_pr_auc,test,max_recall_precision_ge_0.15
0.15078592566971208,0.2335814238678379,0.6800839384985691,0.4819571865443425,0.2,0.2826905829596413,0.7303075263015916,10041,3152,847,788,history_catboost_optuna,history_optuna_indicator_cat_interactions,OptunaCat_trial002,2,6.590029598860709,149,919,2000,0.016626168052745312,5,15.878365987213053,1.2803049874792025,128,Bayesian,0.9093204020787821,,none,,199,59961,71.57974195899442,1997,validation_pr_auc,test,max_recall_precision_ge_0.20
0.5,0.2849070887409673,0.7118828063455397,0.17200674536256325,0.4214876033057851,0.24431137724550897,0.8743945325459491,12872,420,1473,306,history_catboost_optuna,history_optuna_indicator_cat_interactions,OptunaCat_trial003,3,8.002856173035067,37,149,1100,0.030229198632524934,6,7.791409580038064,0.5271167005720473,254,Bayesian,0.6375574713552131,,sqrt,,199,69444,36.644517082953826,591,validation_pr_auc,validation,default_0.5
0.3330776524895531,0.2849070887409673,0.7118828063455397,0.4423833614390107,0.2697052775873886,0.3351075154353843,0.792780837369783,11161,2131,992,787,history_catboost_optuna,history_optuna_indicator_cat_interactions,OptunaCat_trial003,3,8.002856173035067,37,149,1100,0.030229198632524934,6,7.791409580038064,0.5271167005720473,254,Bayesian,0.6375574713552131,,sqrt,,199,69444,36.644517082953826,591,validation_pr_auc,validation,best_f1
0.24266391115956704,0.2849070887409673,0.7118828063455397,0.6992692523889825,0.1959055118110236,0.3060647066059786,0.6257049963506072,8186,5106,535,1244,history_catboost_optuna,history_optuna_indicator_cat_interactions,OptunaCat_trial003,3,8.002856173035067,37,149,1100,0.030229198632524934,6,7.791409580038064,0.5271167005720473,254,Bayesian,0.6375574713552131,,sqrt,,199,69444,36.644517082953826,591,validation_pr_auc,validation,best_f2
0.09954905199139005,0.2849070887409673,0.7118828063455397,0.9932546374367622,0.12,0.21412990790111489,0.13940680777652445,334,12958,12,1767,history_catboost_optuna,history_optuna_indicator_cat_interactions,OptunaCat_trial003,3,8.002856173035067,37,149,1100,0.030229198632524934,6,7.791409580038064,0.5271167005720473,254,Bayesian,0.6375574713552131,,sqrt,,199,69444,36.644517082953826,591,validation_pr_auc,validation,max_recall_precision_ge_0.12
0.17203422313022193,0.2849070887409673,0.7118828063455397,0.8752107925801011,0.15,0.2561065877128053,0.3998407537655099,4469,8823,222,1557,history_catboost_optuna,history_optuna_indicator_cat_interactions,OptunaCat_trial003,3,8.002856173035067,37,149,1100,0.030229198632524934,6,7.791409580038064,0.5271167005720473,254,Bayesian,0.6375574713552131,,sqrt,,199,69444,36.644517082953826,591,validation_pr_auc,validation,max_recall_precision_ge_0.15
0.2483830012707505,0.2849070887409673,0.7118828063455397,0.6779089376053963,0.2,0.3088743757203227,0.6418950301904319,8468,4824,573,1206,history_catboost_optuna,history_optuna_indicator_cat_interactions,OptunaCat_trial003,3,8.002856173035067,37,149,1100,0.030229198632524934,6,7.791409580038064,0.5271167005720473,254,Bayesian,0.6375574713552131,,sqrt,,199,69444,36.644517082953826,591,validation_pr_auc,validation,max_recall_precision_ge_0.20
0.5,0.23450747825504697,0.6830005996600459,0.1308868501529052,0.3525535420098847,0.19090098126672614,0.8776638791475587,12800,393,1421,214,history_catboost_optuna,history_optuna_indicator_cat_interactions,OptunaCat_trial003,3,8.002856173035067,37,149,1100,0.030229198632524934,6,7.791409580038064,0.5271167005720473,254,Bayesian,0.6375574713552131,,sqrt,,199,69444,36.644517082953826,591,validation_pr_auc,test,default_0.5
