split,seed,config,avg_precision,trapz_pr_auc,roc_auc,test_pos_rate,fit_seconds,patient_overlap
unstratified,1,onehot_max_features5,0.20827901255741255,0.20778636417289842,0.653672869568953,0.11242555274536999,0.7138457080582157,7902
unstratified,1,onehot_log2,0.20919308146916604,0.20885294247891603,0.6549231478977553,0.11242555274536999,0.7877192499581724,7902
unstratified,1,ordinal_max_features5,0.20465274396382185,0.20425878455903013,0.6493486172144813,0.11242555274536999,0.7949400420766324,7902
unstratified,1,ordinal_default,0.2031446429307884,0.20265660464012214,0.6485065099922875,0.11242555274536999,0.7327265840722248,7902
unstratified,2,onehot_sklearn_default,0.22394547816075946,0.22353345304704014,0.6603479804358455,0.11674961246634576,0.8176393749890849,7768
unstratified,2,onehot_max_features5,0.21669147462002517,0.21630667706573706,0.6576273756929863,0.11674961246634576,0.7451411659130827,7768
unstratified,2,onehot_log2,0.21946261979273682,0.21899661509790228,0.6585834817001749,0.11674961246634576,0.7408092920668423,7768
unstratified,2,ordinal_max_features5,0.21473315218080508,0.21432444021496178,0.6539756052250432,0.11674961246634576,0.8074599169194698,7768
unstratified,2,ordinal_default,0.21221964397721832,0.2117476127576526,0.6537443892030508,0.11674961246634576,0.7473385420162231,7768
unstratified,3,onehot_sklearn_default,0.21556489522415753,0.2150901895642712,0.6585983990824815,0.11087541812841642,0.8047702920157462,7821
unstratified,3,onehot_max_features5,0.21171113629634508,0.21127900613884792,0.6551057899789485,0.11087541812841642,0.7090154580073431,7821
unstratified,3,onehot_log2,0.20922294923461315,0.20878144782743985,0.65773988814063,0.11087541812841642,0.7331202500499785,7821
unstratified,3,ordinal_max_features5,0.20546807872508416,0.20515647939270337,0.6518563886468289,0.11087541812841642,0.8046712499344721,7821
unstratified,3,ordinal_default,0.2026154445270804,0.20228143358656012,0.6492119345740035,0.11087541812841642,0.746298750047572,7821
unstratified,4,onehot_sklearn_default,0.2051726280238614,0.20476322779034528,0.656234741072055,0.11271110385901933,0.8379379160469398,7891
unstratified,4,onehot_max_features5,0.20043087557792727,0.19998790558273138,0.6539929281854959,0.11271110385901933,0.7218485419871286,7891
unstratified,4,onehot_log2,0.20241596292308586,0.2020530885162505,0.6542799177070961,0.11271110385901933,0.7384209160227329,7891
unstratified,4,ordinal_max_features5,0.2007950605407379,0.2003864301453622,0.6520313408697889,0.11271110385901933,0.8211313340580091,7891
unstratified,4,ordinal_default,0.20001035555816668,0.19962425512510598,0.6508249282717551,0.11271110385901933,0.7465746250236407,7891
unstratified,5,onehot_sklearn_default,0.21890262701281601,0.21853213237441166,0.6609120510709195,0.11401648037855919,0.8233547919662669,7795
unstratified,6,onehot_sklearn_default,0.21873708661903735,0.21828140703831656,0.6675616045859125,0.11246634576160561,0.8230376669671386,7856
unstratified,7,onehot_sklearn_default,0.21095700415766136,0.21063682207741266,0.6595882375994682,0.11050828098229583,0.8149602079065517,7881
unstratified,8,onehot_sklearn_default,0.21063345389325588,0.2102514972068565,0.6651829946047306,0.11087541812841642,0.8122382090659812,7784
unstratified,9,onehot_sklearn_default,0.2203935881035511,0.22007718855912253,0.6692921968827453,0.11275189687525496,0.8122257919749245,7747
unstratified,10,onehot_sklearn_default,0.22080028672220064,0.22035049557709432,0.6632007113374289,0.1144244105409154,0.8265507919713855,7838
unstratified,11,onehot_sklearn_default,0.2193435775724848,0.218901597894594,0.6681061763732262,0.11511789181692095,0.8155873339856043,7775
unstratified,12,onehot_sklearn_default,0.2185672670146835,0.21811418840673494,0.668970735912003,0.1130374479889043,0.8195848750183359,7869
unstratified,13,onehot_sklearn_default,0.21952055687364078,0.21907556282175897,0.6609928298392678,0.11450599657338664,0.8133283749921247,7818
