threshold_strategy,threshold,pr_auc,roc_auc,recall,precision,f1,accuracy,tn,fp,fn,tp,dataset_name,split_mode,train_rows,test_rows,train_positive_rate,test_positive_rate,train_patients,test_patients,patient_overlap,model_name,fit_seconds,status
best_f1,0.5097035976960664,0.16037917648643085,0.6447141205639828,0.5079051383399209,0.1478144171779141,0.22898722898722898,0.6893064448566812,10748,4445,747,771,first_encounter_hospice_removed,paper_random_75_25,50133,16711,0.09087826381824347,0.09083836993597032,50133,16711,0,PaperRF_250_depth8_balanced,1.3811032079393044,ok
default_0.5,0.5,0.10088504484844386,0.5510056291959571,0.9920948616600791,0.09132253956703656,0.1672497084790938,0.10256717132427742,208,14985,12,1506,first_encounter_hospice_removed,paper_random_75_25,50133,16711,0.09087826381824347,0.09083836993597032,50133,16711,0,PaperGaussianNB,0.15027979097794741,ok
best_f1,0.9999999999999982,0.10088504484844386,0.5510056291959571,0.8610013175230566,0.10191827822832189,0.18226188816064706,0.29818682305068517,3676,11517,211,1307,first_encounter_hospice_removed,paper_random_75_25,50133,16711,0.09087826381824347,0.09083836993597032,50133,16711,0,PaperGaussianNB,0.15027979097794741,ok
default_0.5,0.5,0.162160960618422,0.6415522381276262,0.0,0.0,0.0,0.9107174914726827,15219,0,1492,0,first_encounter_hospice_removed_patient_group,patient_group_75_25,50133,16711,0.09139688428779447,0.08928250852731734,50133,16711,0,PaperRF_250_depth5_unweighted,0.6046608339529485,ok
best_f1,0.10715336314023885,0.162160960618422,0.6415522381276262,0.34986595174262736,0.16926070038910507,0.22814685314685315,0.7886422117168332,12657,2562,970,522,first_encounter_hospice_removed_patient_group,patient_group_75_25,50133,16711,0.09139688428779447,0.08928250852731734,50133,16711,0,PaperRF_250_depth5_unweighted,0.6046608339529485,ok
default_0.5,0.5,0.15260744144916838,0.6382507525956601,0.5502680965147453,0.1345240045879076,0.2161948650427913,0.6437675782418766,9937,5282,671,821,first_encounter_hospice_removed_patient_group,patient_group_75_25,50133,16711,0.09139688428779447,0.08928250852731734,50133,16711,0,PaperRF_250_depth5_balanced,1.3136737499153242,ok
best_f1,0.5190316665856285,0.15260744144916838,0.6382507525956601,0.45777479892761397,0.14578441835645678,0.2211429496519346,0.7121057985757884,11217,4002,809,683,first_encounter_hospice_removed_patient_group,patient_group_75_25,50133,16711,0.09139688428779447,0.08928250852731734,50133,16711,0,PaperRF_250_depth5_balanced,1.3136737499153242,ok
default_0.5,0.5,0.15930635104690447,0.6431703033829416,0.5308310991957105,0.13754775963876345,0.21848275862068967,0.6609418945604691,10253,4966,700,792,first_encounter_hospice_removed_patient_group,patient_group_75_25,50133,16711,0.09139688428779447,0.08928250852731734,50133,16711,0,PaperRF_250_depth8_balanced,1.3734753340249881,ok
best_f1,0.5365640934948792,0.15930635104690447,0.6431703033829416,0.36193029490616624,0.1622596153846154,0.22406639004149378,0.7761953204476093,12431,2788,952,540,first_encounter_hospice_removed_patient_group,patient_group_75_25,50133,16711,0.09139688428779447,0.08928250852731734,50133,16711,0,PaperRF_250_depth8_balanced,1.3734753340249881,ok
default_0.5,0.5,0.13254719060740935,0.6124940920646145,0.9792225201072386,0.08944532876209134,0.16391787277011108,0.10813236790138232,346,14873,31,1461,first_encounter_hospice_removed_patient_group,patient_group_75_25,50133,16711,0.09139688428779447,0.08928250852731734,50133,16711,0,PaperGaussianNB,0.15282770805060863,ok
best_f1,0.999999999968594,0.13254719060740935,0.6124940920646145,0.42091152815013405,0.14185678789247796,0.2121980064200034,0.7209622404404284,11420,3799,864,628,first_encounter_hospice_removed_patient_group,patient_group_75_25,50133,16711,0.09139688428779447,0.08928250852731734,50133,16711,0,PaperGaussianNB,0.15282770805060863,ok
