experiment_type,split_name,feature_config,model_name,seed,n_columns,best_iteration,fit_seconds,split,threshold_strategy,top_fraction,n_flagged,positives_captured,precision_at_k,recall_at_k,base_rate,lift
feature_group_ablation,patient_group_70_15_15,drop_prior_utilization,PlateauCatBoost_d6_lr002_custom025,42,137,979,47.17561587493401,test,ranking,0.01,149,72,0.48322147651006714,0.044036697247706424,0.1102643647154033,4.382390246905978
feature_group_ablation,patient_group_70_15_15,drop_prior_utilization,PlateauCatBoost_d6_lr002_custom025,42,137,979,47.17561587493401,test,ranking,0.05,742,233,0.3140161725067385,0.14250764525993884,0.1102643647154033,2.847848199345516
feature_group_ablation,patient_group_70_15_15,drop_prior_utilization,PlateauCatBoost_d6_lr002_custom025,42,137,979,47.17561587493401,test,ranking,0.1,1483,396,0.2670262980445044,0.24220183486238533,0.1102643647154033,2.4216917109504044
feature_group_ablation,patient_group_70_15_15,drop_prior_utilization,PlateauCatBoost_d6_lr002_custom025,42,137,979,47.17561587493401,test,ranking,0.2,2966,643,0.2167902899527984,0.39327217125382263,0.1102643647154033,1.9660956693700884
feature_group_ablation,patient_group_70_15_15,drop_admin_discharge_source,PlateauCatBoost_d6_lr002_custom025,42,146,891,42.43676079099532,test,ranking,0.01,149,57,0.3825503355704698,0.03486238532110092,0.1102643647154033,3.469392278800566
feature_group_ablation,patient_group_70_15_15,drop_admin_discharge_source,PlateauCatBoost_d6_lr002_custom025,42,146,891,42.43676079099532,test,ranking,0.05,742,202,0.2722371967654987,0.1235474006116208,0.1102643647154033,2.468949941063495
feature_group_ablation,patient_group_70_15_15,drop_admin_discharge_source,PlateauCatBoost_d6_lr002_custom025,42,146,891,42.43676079099532,test,ranking,0.1,1483,351,0.23668240053944706,0.21467889908256882,0.1102643647154033,2.1464994710696765
feature_group_ablation,patient_group_70_15_15,drop_admin_discharge_source,PlateauCatBoost_d6_lr002_custom025,42,146,891,42.43676079099532,test,ranking,0.2,2966,593,0.19993256911665544,0.36269113149847093,0.1102643647154033,1.8132110916585729
feature_group_ablation,patient_group_70_15_15,drop_diagnosis_features,PlateauCatBoost_d6_lr002_custom025,42,98,999,35.71188083407469,test,ranking,0.01,149,60,0.40268456375838924,0.03669724770642202,0.1102643647154033,3.6519918724216485
feature_group_ablation,patient_group_70_15_15,drop_diagnosis_features,PlateauCatBoost_d6_lr002_custom025,42,98,999,35.71188083407469,test,ranking,0.05,742,229,0.3086253369272237,0.1400611620795107,0.1102643647154033,2.7989581015026745
