experiment_type,ensemble_name,member_key,feature_config,model_name,negative_ratio,seed,n_members,train_subset_rows,n_columns,fit_seconds,best_iteration,split,threshold_strategy,top_fraction,n_flagged,positives_captured,precision_at_k,recall_at_k,base_rate,lift
history_negative_ratio_refinement_member,,NegRefineCat_d6_lr002_neg8.25_seed37,history_neg_ratio_refine_indicator_cat_interactions,NegRefineCat_d6_lr002_neg8.25_seed37,8.25,37,1,69444.0,199,69.30409383401275,1498.0,test,ranking,0.01,149,79,0.5302013422818792,0.048318042813455656,0.1102643647154033,4.808455965355171
history_negative_ratio_refinement_member,,NegRefineCat_d6_lr002_neg8.25_seed37,history_neg_ratio_refine_indicator_cat_interactions,NegRefineCat_d6_lr002_neg8.25_seed37,8.25,37,1,69444.0,199,69.30409383401275,1498.0,test,ranking,0.05,742,256,0.3450134770889488,0.1565749235474006,0.1102643647154033,3.128966261941855
history_negative_ratio_refinement_member,,NegRefineCat_d6_lr002_neg8.25_seed37,history_neg_ratio_refine_indicator_cat_interactions,NegRefineCat_d6_lr002_neg8.25_seed37,8.25,37,1,69444.0,199,69.30409383401275,1498.0,test,ranking,0.1,1483,412,0.27781523937963587,0.25198776758409785,0.1102643647154033,2.519537840685774
history_negative_ratio_refinement_member,,NegRefineCat_d6_lr002_neg8.25_seed37,history_neg_ratio_refine_indicator_cat_interactions,NegRefineCat_d6_lr002_neg8.25_seed37,8.25,37,1,69444.0,199,69.30409383401275,1498.0,test,ranking,0.2,2966,657,0.22151045178691842,0.4018348623853211,0.1102643647154033,2.008903351129313
history_negative_ratio_refinement_member,,NegRefineCat_d6_lr002_neg8.25_seed202,history_neg_ratio_refine_indicator_cat_interactions,NegRefineCat_d6_lr002_neg8.25_seed202,8.25,202,1,69444.0,199,69.86867679201532,1466.0,test,ranking,0.01,149,82,0.5503355704697986,0.05015290519877676,0.1102643647154033,4.991055558976253
history_negative_ratio_refinement_member,,NegRefineCat_d6_lr002_neg8.25_seed202,history_neg_ratio_refine_indicator_cat_interactions,NegRefineCat_d6_lr002_neg8.25_seed202,8.25,202,1,69444.0,199,69.86867679201532,1466.0,test,ranking,0.05,742,256,0.3450134770889488,0.1565749235474006,0.1102643647154033,3.128966261941855
history_negative_ratio_refinement_member,,NegRefineCat_d6_lr002_neg8.25_seed202,history_neg_ratio_refine_indicator_cat_interactions,NegRefineCat_d6_lr002_neg8.25_seed202,8.25,202,1,69444.0,199,69.86867679201532,1466.0,test,ranking,0.1,1483,415,0.279838165879973,0.25382262996941896,0.1102643647154033,2.5378839900111556
history_negative_ratio_refinement_member,,NegRefineCat_d6_lr002_neg8.25_seed202,history_neg_ratio_refine_indicator_cat_interactions,NegRefineCat_d6_lr002_neg8.25_seed202,8.25,202,1,69444.0,199,69.86867679201532,1466.0,test,ranking,0.2,2966,658,0.22184760620364127,0.40244648318042814,0.1102643647154033,2.011961042683543
history_negative_ratio_refinement_member,,NegRefineCat_d6_lr002_neg8.25_seed404,history_neg_ratio_refine_indicator_cat_interactions,NegRefineCat_d6_lr002_neg8.25_seed404,8.25,404,1,69444.0,199,70.19836904096883,1499.0,test,ranking,0.01,149,81,0.5436241610738255,0.04954128440366973,0.1102643647154033,4.9301890277692255
history_negative_ratio_refinement_member,,NegRefineCat_d6_lr002_neg8.25_seed404,history_neg_ratio_refine_indicator_cat_interactions,NegRefineCat_d6_lr002_neg8.25_seed404,8.25,404,1,69444.0,199,70.19836904096883,1499.0,test,ranking,0.05,742,251,0.33827493261455527,0.15351681957186544,0.1102643647154033,3.067853639638303
history_negative_ratio_refinement_member,,NegRefineCat_d6_lr002_neg8.25_seed404,history_neg_ratio_refine_indicator_cat_interactions,NegRefineCat_d6_lr002_neg8.25_seed404,8.25,404,1,69444.0,199,70.19836904096883,1499.0,test,ranking,0.1,1483,411,0.27714093054619016,0.25137614678899084,0.1102643647154033,2.5134224575773136
history_negative_ratio_refinement_member,,NegRefineCat_d6_lr002_neg8.25_seed404,history_neg_ratio_refine_indicator_cat_interactions,NegRefineCat_d6_lr002_neg8.25_seed404,8.25,404,1,69444.0,199,70.19836904096883,1499.0,test,ranking,0.2,2966,664,0.22387053270397841,0.40611620795107034,0.1102643647154033,2.030307192008925
history_negative_ratio_refinement_member,,NegRefineCat_d6_lr002_neg8.25_seed808,history_neg_ratio_refine_indicator_cat_interactions,NegRefineCat_d6_lr002_neg8.25_seed808,8.25,808,1,69444.0,199,70.37696983397473,1490.0,test,ranking,0.01,149,77,0.5167785234899329,0.04709480122324159,0.1102643647154033,4.686722902941116
history_negative_ratio_refinement_member,,NegRefineCat_d6_lr002_neg8.25_seed808,history_neg_ratio_refine_indicator_cat_interactions,NegRefineCat_d6_lr002_neg8.25_seed808,8.25,808,1,69444.0,199,70.37696983397473,1490.0,test,ranking,0.05,742,254,0.3423180592991914,0.15535168195718654,0.1102643647154033,3.1045212130204343
history_negative_ratio_refinement_member,,NegRefineCat_d6_lr002_neg8.25_seed808,history_neg_ratio_refine_indicator_cat_interactions,NegRefineCat_d6_lr002_neg8.25_seed808,8.25,808,1,69444.0,199,70.37696983397473,1490.0,test,ranking,0.1,1483,403,0.2717464598786244,0.24648318042813455,0.1102643647154033,2.4644993927096284
history_negative_ratio_refinement_member,,NegRefineCat_d6_lr002_neg8.25_seed808,history_neg_ratio_refine_indicator_cat_interactions,NegRefineCat_d6_lr002_neg8.25_seed808,8.25,808,1,69444.0,199,70.37696983397473,1490.0,test,ranking,0.2,2966,658,0.22184760620364127,0.40244648318042814,0.1102643647154033,2.011961042683543
history_negative_ratio_refinement_member,,NegRefineCat_d6_lr002_neg8.5_seed37,history_neg_ratio_refine_indicator_cat_interactions,NegRefineCat_d6_lr002_neg8.5_seed37,8.5,37,1,69444.0,199,70.74401862500235,1498.0,test,ranking,0.01,149,79,0.5302013422818792,0.048318042813455656,0.1102643647154033,4.808455965355171
history_negative_ratio_refinement_member,,NegRefineCat_d6_lr002_neg8.5_seed37,history_neg_ratio_refine_indicator_cat_interactions,NegRefineCat_d6_lr002_neg8.5_seed37,8.5,37,1,69444.0,199,70.74401862500235,1498.0,test,ranking,0.05,742,256,0.3450134770889488,0.1565749235474006,0.1102643647154033,3.128966261941855
history_negative_ratio_refinement_member,,NegRefineCat_d6_lr002_neg8.5_seed37,history_neg_ratio_refine_indicator_cat_interactions,NegRefineCat_d6_lr002_neg8.5_seed37,8.5,37,1,69444.0,199,70.74401862500235,1498.0,test,ranking,0.1,1483,412,0.27781523937963587,0.25198776758409785,0.1102643647154033,2.519537840685774
history_negative_ratio_refinement_member,,NegRefineCat_d6_lr002_neg8.5_seed37,history_neg_ratio_refine_indicator_cat_interactions,NegRefineCat_d6_lr002_neg8.5_seed37,8.5,37,1,69444.0,199,70.74401862500235,1498.0,test,ranking,0.2,2966,657,0.22151045178691842,0.4018348623853211,0.1102643647154033,2.008903351129313
history_negative_ratio_refinement_member,,NegRefineCat_d6_lr002_neg8.5_seed202,history_neg_ratio_refine_indicator_cat_interactions,NegRefineCat_d6_lr002_neg8.5_seed202,8.5,202,1,69444.0,199,68.84429762500804,1466.0,test,ranking,0.01,149,82,0.5503355704697986,0.05015290519877676,0.1102643647154033,4.991055558976253
history_negative_ratio_refinement_member,,NegRefineCat_d6_lr002_neg8.5_seed202,history_neg_ratio_refine_indicator_cat_interactions,NegRefineCat_d6_lr002_neg8.5_seed202,8.5,202,1,69444.0,199,68.84429762500804,1466.0,test,ranking,0.05,742,256,0.3450134770889488,0.1565749235474006,0.1102643647154033,3.128966261941855
history_negative_ratio_refinement_member,,NegRefineCat_d6_lr002_neg8.5_seed202,history_neg_ratio_refine_indicator_cat_interactions,NegRefineCat_d6_lr002_neg8.5_seed202,8.5,202,1,69444.0,199,68.84429762500804,1466.0,test,ranking,0.1,1483,415,0.279838165879973,0.25382262996941896,0.1102643647154033,2.5378839900111556
history_negative_ratio_refinement_member,,NegRefineCat_d6_lr002_neg8.5_seed202,history_neg_ratio_refine_indicator_cat_interactions,NegRefineCat_d6_lr002_neg8.5_seed202,8.5,202,1,69444.0,199,68.84429762500804,1466.0,test,ranking,0.2,2966,658,0.22184760620364127,0.40244648318042814,0.1102643647154033,2.011961042683543
history_negative_ratio_refinement_member,,NegRefineCat_d6_lr002_neg8.5_seed404,history_neg_ratio_refine_indicator_cat_interactions,NegRefineCat_d6_lr002_neg8.5_seed404,8.5,404,1,69444.0,199,70.91238329198677,1499.0,test,ranking,0.01,149,81,0.5436241610738255,0.04954128440366973,0.1102643647154033,4.9301890277692255
history_negative_ratio_refinement_member,,NegRefineCat_d6_lr002_neg8.5_seed404,history_neg_ratio_refine_indicator_cat_interactions,NegRefineCat_d6_lr002_neg8.5_seed404,8.5,404,1,69444.0,199,70.91238329198677,1499.0,test,ranking,0.05,742,251,0.33827493261455527,0.15351681957186544,0.1102643647154033,3.067853639638303
history_negative_ratio_refinement_member,,NegRefineCat_d6_lr002_neg8.5_seed404,history_neg_ratio_refine_indicator_cat_interactions,NegRefineCat_d6_lr002_neg8.5_seed404,8.5,404,1,69444.0,199,70.91238329198677,1499.0,test,ranking,0.1,1483,411,0.27714093054619016,0.25137614678899084,0.1102643647154033,2.5134224575773136
history_negative_ratio_refinement_member,,NegRefineCat_d6_lr002_neg8.5_seed404,history_neg_ratio_refine_indicator_cat_interactions,NegRefineCat_d6_lr002_neg8.5_seed404,8.5,404,1,69444.0,199,70.91238329198677,1499.0,test,ranking,0.2,2966,664,0.22387053270397841,0.40611620795107034,0.1102643647154033,2.030307192008925
history_negative_ratio_refinement_member,,NegRefineCat_d6_lr002_neg8.5_seed808,history_neg_ratio_refine_indicator_cat_interactions,NegRefineCat_d6_lr002_neg8.5_seed808,8.5,808,1,69444.0,199,68.50872199994046,1490.0,test,ranking,0.01,149,77,0.5167785234899329,0.04709480122324159,0.1102643647154033,4.686722902941116
