threshold,pr_auc,roc_auc,recall,precision,f1,accuracy,tn,fp,fn,tp,split,experiment_type,ensemble_name,member_key,feature_config,model_name,n_members,fit_seconds,best_iteration,threshold_strategy
0.20285350004389005,0.22859158132498272,0.6788065490201807,0.7755351681957187,0.15339946769900797,0.25613574386425614,0.5033045589425411,6195,6998,367,1268,test,plateau_ensemble_member,,ens_full_summary__Cat_d6_lr0015_l210_sqrt,ens_full_summary,Cat_d6_lr0015_l210_sqrt,1,85.59245899994858,1656.0,best_f2
0.12681151229544188,0.22859158132498272,0.6788065490201807,0.962691131498471,0.12000609942055505,0.21340926038912617,0.21749393040194226,1651,11542,61,1574,test,plateau_ensemble_member,,ens_full_summary__Cat_d6_lr0015_l210_sqrt,ens_full_summary,Cat_d6_lr0015_l210_sqrt,1,85.59245899994858,1656.0,max_recall_precision_ge_0.12
0.1974751641755254,0.22859158132498272,0.6788065490201807,0.7908256880733945,0.15,0.2521696733300829,0.48280280550310223,5866,7327,342,1293,test,plateau_ensemble_member,,ens_full_summary__Cat_d6_lr0015_l210_sqrt,ens_full_summary,Cat_d6_lr0015_l210_sqrt,1,85.59245899994858,1656.0,max_recall_precision_ge_0.15
0.2969608471609987,0.22859158132498272,0.6788065490201807,0.47217125382263,0.2,0.28098271155595994,0.7335446452657135,10105,3088,863,772,test,plateau_ensemble_member,,ens_full_summary__Cat_d6_lr0015_l210_sqrt,ens_full_summary,Cat_d6_lr0015_l210_sqrt,1,85.59245899994858,1656.0,max_recall_precision_ge_0.20
0.5,0.2704528765905157,0.7001224453478634,0.0865654862282181,0.48125,0.14673654121010005,0.8811624975117776,13126,166,1625,154,validation,plateau_ensemble_member,,ens_full_indicator__Cat_d6_lr0015_l210_custom025,ens_full_indicator,Cat_d6_lr0015_l210_custom025,1,90.71347166702617,1863.0,default_0.5
0.26999858102326163,0.2704528765905157,0.7001224453478634,0.3934794828555368,0.27375831052014077,0.32287822878228783,0.8051887731404684,11435,1857,1079,700,validation,plateau_ensemble_member,,ens_full_indicator__Cat_d6_lr0015_l210_custom025,ens_full_indicator,Cat_d6_lr0015_l210_custom025,1,90.71347166702617,1863.0,best_f1
0.17290972506756097,0.2704528765905157,0.7001224453478634,0.7178189994378864,0.1797325826882477,0.2874831157136425,0.5799880565324133,7464,5828,502,1277,validation,plateau_ensemble_member,,ens_full_indicator__Cat_d6_lr0015_l210_custom025,ens_full_indicator,Cat_d6_lr0015_l210_custom025,1,90.71347166702617,1863.0,best_f2
0.06621823065036117,0.2704528765905157,0.7001224453478634,0.9943788645306352,0.12000542704022793,0.21416464891041162,0.13861057660407405,320,12972,10,1769,validation,plateau_ensemble_member,,ens_full_indicator__Cat_d6_lr0015_l210_custom025,ens_full_indicator,Cat_d6_lr0015_l210_custom025,1,90.71347166702617,1863.0,max_recall_precision_ge_0.12
0.13029931065613834,0.2704528765905157,0.7001224453478634,0.8701517706576728,0.15,0.25588891643937517,0.4026275628690863,4520,8772,231,1548,validation,plateau_ensemble_member,,ens_full_indicator__Cat_d6_lr0015_l210_custom025,ens_full_indicator,Cat_d6_lr0015_l210_custom025,1,90.71347166702617,1863.0,max_recall_precision_ge_0.15
0.19936978077096965,0.2704528765905157,0.7001224453478634,0.612141652613828,0.2,0.3014950166112957,0.6651847919846062,8936,4356,690,1089,validation,plateau_ensemble_member,,ens_full_indicator__Cat_d6_lr0015_l210_custom025,ens_full_indicator,Cat_d6_lr0015_l210_custom025,1,90.71347166702617,1863.0,max_recall_precision_ge_0.20
0.5,0.228963630081071,0.679410659577373,0.0617737003058104,0.404,0.10716180371352785,0.8864985163204748,13044,149,1534,101,test,plateau_ensemble_member,,ens_full_indicator__Cat_d6_lr0015_l210_custom025,ens_full_indicator,Cat_d6_lr0015_l210_custom025,1,90.71347166702617,1863.0,default_0.5
0.2552926094973127,0.228963630081071,0.679410659577373,0.39021406727828745,0.22245467224546722,0.28336664445924936,0.7823711896412193,10963,2230,997,638,test,plateau_ensemble_member,,ens_full_indicator__Cat_d6_lr0015_l210_custom025,ens_full_indicator,Cat_d6_lr0015_l210_custom025,1,90.71347166702617,1863.0,best_f1
0.15072012614421718,0.228963630081071,0.679410659577373,0.7798165137614679,0.15341114186018528,0.25638447617132515,0.5012139196115457,6157,7036,360,1275,test,plateau_ensemble_member,,ens_full_indicator__Cat_d6_lr0015_l210_custom025,ens_full_indicator,Cat_d6_lr0015_l210_custom025,1,90.71347166702617,1863.0,best_f2
0.09308875774451081,0.228963630081071,0.679410659577373,0.9602446483180428,0.12000305740273638,0.2133442043755945,0.21917992986242243,1680,11513,65,1570,test,plateau_ensemble_member,,ens_full_indicator__Cat_d6_lr0015_l210_custom025,ens_full_indicator,Cat_d6_lr0015_l210_custom025,1,90.71347166702617,1863.0,max_recall_precision_ge_0.12
0.14598702102755823,0.228963630081071,0.679410659577373,0.7975535168195719,0.15000575175428504,0.2525174283501162,0.4793633666037227,5804,7389,331,1304,test,plateau_ensemble_member,,ens_full_indicator__Cat_d6_lr0015_l210_custom025,ens_full_indicator,Cat_d6_lr0015_l210_custom025,1,90.71347166702617,1863.0,max_recall_precision_ge_0.15
0.23010325938675613,0.228963630081071,0.679410659577373,0.4654434250764526,0.2,0.2797794117647059,0.7357701645535474,10149,3044,874,761,test,plateau_ensemble_member,,ens_full_indicator__Cat_d6_lr0015_l210_custom025,ens_full_indicator,Cat_d6_lr0015_l210_custom025,1,90.71347166702617,1863.0,max_recall_precision_ge_0.20
0.5,0.2699026390429042,0.7010192811882096,0.09050028105677346,0.48059701492537316,0.152317880794702,0.8810961449140734,13118,174,1618,161,validation,plateau_ensemble_member,,ens_full_indicator__Cat_d6_lr002_l210_custom025,ens_full_indicator,Cat_d6_lr002_l210_custom025,1,63.73610858304892,1276.0,default_0.5
0.26894805525973675,0.2699026390429042,0.7010192811882096,0.40191118605958404,0.2723809523809524,0.32470481380563126,0.8026673744277089,11382,1910,1064,715,validation,plateau_ensemble_member,,ens_full_indicator__Cat_d6_lr002_l210_custom025,ens_full_indicator,Cat_d6_lr002_l210_custom025,1,63.73610858304892,1276.0,best_f1
0.17536112854104519,0.2699026390429042,0.7010192811882096,0.7116357504215851,0.18213206732844195,0.2900343642611684,0.5887465994293677,7607,5685,513,1266,validation,plateau_ensemble_member,,ens_full_indicator__Cat_d6_lr002_l210_custom025,ens_full_indicator,Cat_d6_lr002_l210_custom025,1,63.73610858304892,1276.0,best_f2
0.06824784973088728,0.2699026390429042,0.7010192811882096,0.9938167509836987,0.12000271499355189,0.21414728682170542,0.13900869219029924,327,12965,11,1768,validation,plateau_ensemble_member,,ens_full_indicator__Cat_d6_lr002_l210_custom025,ens_full_indicator,Cat_d6_lr002_l210_custom025,1,63.73610858304892,1276.0,max_recall_precision_ge_0.12
0.1312176541275024,0.2699026390429042,0.7010192811882096,0.8684654300168634,0.15,0.25581587879791373,0.40355649923694514,4537,8755,234,1545,validation,plateau_ensemble_member,,ens_full_indicator__Cat_d6_lr002_l210_custom025,ens_full_indicator,Cat_d6_lr002_l210_custom025,1,63.73610858304892,1276.0,max_recall_precision_ge_0.15
0.19906526208109224,0.2699026390429042,0.7010192811882096,0.6166385609893198,0.2,0.3020374449339207,0.6635923296397054,8904,4388,682,1097,validation,plateau_ensemble_member,,ens_full_indicator__Cat_d6_lr002_l210_custom025,ens_full_indicator,Cat_d6_lr002_l210_custom025,1,63.73610858304892,1276.0,max_recall_precision_ge_0.20
0.5,0.22998590903450805,0.6789141494041298,0.06116207951070336,0.425531914893617,0.10695187165775401,0.8873752360399245,13058,135,1535,100,test,plateau_ensemble_member,,ens_full_indicator__Cat_d6_lr002_l210_custom025,ens_full_indicator,Cat_d6_lr002_l210_custom025,1,63.73610858304892,1276.0,default_0.5
0.26292222849989744,0.22998590903450805,0.6789141494041298,0.3743119266055046,0.22827303245057814,0.283595922150139,0.7914755867278123,11124,2069,1023,612,test,plateau_ensemble_member,,ens_full_indicator__Cat_d6_lr002_l210_custom025,ens_full_indicator,Cat_d6_lr002_l210_custom025,1,63.73610858304892,1276.0,best_f1
0.14546940002519476,0.22998590903450805,0.6789141494041298,0.8012232415902141,0.14938989622533927,0.2518262206843522,0.47504720798489347,5734,7459,325,1310,test,plateau_ensemble_member,,ens_full_indicator__Cat_d6_lr002_l210_custom025,ens_full_indicator,Cat_d6_lr002_l210_custom025,1,63.73610858304892,1276.0,best_f2
0.09346282736693215,0.22998590903450805,0.6789141494041298,0.9651376146788991,0.12,0.2134595874196821,0.2157404909630429,1621,11572,57,1578,test,plateau_ensemble_member,,ens_full_indicator__Cat_d6_lr002_l210_custom025,ens_full_indicator,Cat_d6_lr002_l210_custom025,1,63.73610858304892,1276.0,max_recall_precision_ge_0.12
0.14689025256003718,0.22998590903450805,0.6789141494041298,0.7944954128440367,0.15,0.25235551238465276,0.4809144861073644,5832,7361,336,1299,test,plateau_ensemble_member,,ens_full_indicator__Cat_d6_lr002_l210_custom025,ens_full_indicator,Cat_d6_lr002_l210_custom025,1,63.73610858304892,1276.0,max_recall_precision_ge_0.15
0.2304444657919527,0.22998590903450805,0.6789141494041298,0.46972477064220186,0.2,0.28054794520547943,0.734353925006744,10121,3072,867,768,test,plateau_ensemble_member,,ens_full_indicator__Cat_d6_lr002_l210_custom025,ens_full_indicator,Cat_d6_lr002_l210_custom025,1,63.73610858304892,1276.0,max_recall_precision_ge_0.20
0.5,0.2686315225759628,0.6996825487848756,0.15120854412591345,0.4008941877794337,0.21959183673469387,0.8731338331895694,12890,402,1510,269,validation,plateau_ensemble_member,,ens_full_indicator__Cat_d6_lr0015_l210_sqrt,ens_full_indicator,Cat_d6_lr0015_l210_sqrt,1,77.73840750008821,1375.0,default_0.5
0.35286254228342034,0.2686315225759628,0.6996825487848756,0.38336143901068015,0.28100535640708696,0.32429862101759394,0.8114259173246633,11547,1745,1097,682,validation,plateau_ensemble_member,,ens_full_indicator__Cat_d6_lr0015_l210_sqrt,ens_full_indicator,Cat_d6_lr0015_l210_sqrt,1,77.73840750008821,1375.0,best_f1
0.22635335482104776,0.2686315225759628,0.6996825487848756,0.7262507026419337,0.17761891668957933,0.28543024411797197,0.5707650454515294,7310,5982,487,1292,validation,plateau_ensemble_member,,ens_full_indicator__Cat_d6_lr0015_l210_sqrt,ens_full_indicator,Cat_d6_lr0015_l210_sqrt,1,77.73840750008821,1375.0,best_f2
0.0943028240660053,0.2686315225759628,0.6996825487848756,0.9932546374367622,0.12,0.21412990790111489,0.13940680777652445,334,12958,12,1767,validation,plateau_ensemble_member,,ens_full_indicator__Cat_d6_lr0015_l210_sqrt,ens_full_indicator,Cat_d6_lr0015_l210_sqrt,1,77.73840750008821,1375.0,max_recall_precision_ge_0.12
0.1766434881877893,0.2686315225759628,0.6996825487848756,0.8701517706576728,0.15,0.25588891643937517,0.4026275628690863,4520,8772,231,1548,validation,plateau_ensemble_member,,ens_full_indicator__Cat_d6_lr0015_l210_sqrt,ens_full_indicator,Cat_d6_lr0015_l210_sqrt,1,77.73840750008821,1375.0,max_recall_precision_ge_0.15
0.2585751145808057,0.2686315225759628,0.6996825487848756,0.6278808319280494,0.2,0.3033677349266703,0.6596111737774534,8824,4468,662,1117,validation,plateau_ensemble_member,,ens_full_indicator__Cat_d6_lr0015_l210_sqrt,ens_full_indicator,Cat_d6_lr0015_l210_sqrt,1,77.73840750008821,1375.0,max_recall_precision_ge_0.20
0.5,0.22717132321709227,0.6778183500609974,0.11865443425076452,0.34519572953736655,0.17660446062812926,0.8780010790396547,12825,368,1441,194,test,plateau_ensemble_member,,ens_full_indicator__Cat_d6_lr0015_l210_sqrt,ens_full_indicator,Cat_d6_lr0015_l210_sqrt,1,77.73840750008821,1375.0,default_0.5
0.30542741335577606,0.22717132321709227,0.6778183500609974,0.4507645259938838,0.20506399554813579,0.2818894626123542,0.7467628810358781,10336,2857,898,737,test,plateau_ensemble_member,,ens_full_indicator__Cat_d6_lr0015_l210_sqrt,ens_full_indicator,Cat_d6_lr0015_l210_sqrt,1,77.73840750008821,1375.0,best_f1
0.19764575020380037,0.22717132321709227,0.6778183500609974,0.7926605504587156,0.15029572074683983,0.25268083447065703,0.4830051254383599,5866,7327,339,1296,test,plateau_ensemble_member,,ens_full_indicator__Cat_d6_lr0015_l210_sqrt,ens_full_indicator,Cat_d6_lr0015_l210_sqrt,1,77.73840750008821,1375.0,best_f2
0.1276151032818603,0.22717132321709227,0.6778183500609974,0.9651376146788991,0.12,0.2134595874196821,0.2157404909630429,1621,11572,57,1578,test,plateau_ensemble_member,,ens_full_indicator__Cat_d6_lr0015_l210_sqrt,ens_full_indicator,Cat_d6_lr0015_l210_sqrt,1,77.73840750008821,1375.0,max_recall_precision_ge_0.12
0.1973264597459057,0.22717132321709227,0.6778183500609974,0.7932721712538227,0.1500115660421004,0.2523100865674545,0.4815888858915565,5844,7349,338,1297,test,plateau_ensemble_member,,ens_full_indicator__Cat_d6_lr0015_l210_sqrt,ens_full_indicator,Cat_d6_lr0015_l210_sqrt,1,77.73840750008821,1375.0,max_recall_precision_ge_0.15
0.29945348719488485,0.22717132321709227,0.6778183500609974,0.4636085626911315,0.2,0.2794470046082949,0.7363771243593202,10161,3032,877,758,test,plateau_ensemble_member,,ens_full_indicator__Cat_d6_lr0015_l210_sqrt,ens_full_indicator,Cat_d6_lr0015_l210_sqrt,1,77.73840750008821,1375.0,max_recall_precision_ge_0.20
0.5,0.2673154623424132,0.700030972913164,0.0865654862282181,0.47384615384615386,0.14638783269961977,0.8808307345232566,13121,171,1625,154,validation,plateau_ensemble_member,,ens_no_medication_detail__Cat_d6_lr0015_l210_custom025,ens_no_medication_detail,Cat_d6_lr0015_l210_custom025,1,126.03435058298055,1846.0,default_0.5
0.26035670091287144,0.2673154623424132,0.700030972913164,0.4131534569983137,0.2610085227272727,0.31991294885745375,0.7926481321743746,11211,2081,1044,735,validation,plateau_ensemble_member,,ens_no_medication_detail__Cat_d6_lr0015_l210_custom025,ens_no_medication_detail,Cat_d6_lr0015_l210_custom025,1,126.03435058298055,1846.0,best_f1
0.1660580296249769,0.2673154623424132,0.700030972913164,0.7436762225969646,0.17446920743768957,0.28263191625721,0.554375953818592,7032,6260,456,1323,validation,plateau_ensemble_member,,ens_no_medication_detail__Cat_d6_lr0015_l210_custom025,ens_no_medication_detail,Cat_d6_lr0015_l210_custom025,1,126.03435058298055,1846.0,best_f2
0.06691123414788896,0.2673154623424132,0.700030972913164,0.9938167509836987,0.12000271499355189,0.21414728682170542,0.13900869219029924,327,12965,11,1768,validation,plateau_ensemble_member,,ens_no_medication_detail__Cat_d6_lr0015_l210_custom025,ens_no_medication_detail,Cat_d6_lr0015_l210_custom025,1,126.03435058298055,1846.0,max_recall_precision_ge_0.12
