threshold,pr_auc,roc_auc,recall,precision,f1,accuracy,tn,fp,fn,tp,experiment_type,ensemble_name,member_key,feature_config,model_name,row_order_seed,model_seed,random_strength,l2_leaf_reg,n_members,train_subset_rows,n_columns,fit_seconds,best_iteration,split,threshold_strategy
0.1386384748520138,0.23729725641677019,0.6813691627313252,0.45198776758409787,0.20940776423916124,0.28621223857474826,0.7514162395468034,10403,2790,896,739,history_catboost_order_sensitivity_member,,OrderCat_same_seed_29,history_order_sensitivity_indicator_cat_interactions,OrderCat_same_seed_29,29,29,1.0,10.0,1,69444.0,199,69.3560556670418,1313.0,test,best_f1
0.08723814481545335,0.23729725641677019,0.6813691627313252,0.746177370030581,0.1571152607855763,0.25957446808510637,0.5306177502023199,6648,6545,415,1220,history_catboost_order_sensitivity_member,,OrderCat_same_seed_29,history_order_sensitivity_indicator_cat_interactions,OrderCat_same_seed_29,29,29,1.0,10.0,1,69444.0,199,69.3560556670418,1313.0,test,best_f2
0.0537080911582626,0.23729725641677019,0.6813691627313252,0.9559633027522936,0.12,0.21323328785811732,0.22214728891286756,1731,11462,72,1563,history_catboost_order_sensitivity_member,,OrderCat_same_seed_29,history_order_sensitivity_indicator_cat_interactions,OrderCat_same_seed_29,29,29,1.0,10.0,1,69444.0,199,69.3560556670418,1313.0,test,max_recall_precision_ge_0.12
0.08157743831707512,0.23729725641677019,0.6813691627313252,0.7749235474006116,0.15001183992422448,0.25136395198889,0.4910304828702455,6014,7179,368,1267,history_catboost_order_sensitivity_member,,OrderCat_same_seed_29,history_order_sensitivity_indicator_cat_interactions,OrderCat_same_seed_29,29,29,1.0,10.0,1,69444.0,199,69.3560556670418,1313.0,test,max_recall_precision_ge_0.15
0.1316907840828482,0.23729725641677019,0.6813691627313252,0.4795107033639144,0.2,0.28226822682268227,0.7311168060426221,10057,3136,851,784,history_catboost_order_sensitivity_member,,OrderCat_same_seed_29,history_order_sensitivity_indicator_cat_interactions,OrderCat_same_seed_29,29,29,1.0,10.0,1,69444.0,199,69.3560556670418,1313.0,test,max_recall_precision_ge_0.20
0.5,0.28342040024400506,0.7096231031205169,0.04272062956717257,0.5984251968503937,0.07974816369359916,0.883617543626833,13241,51,1703,76,history_catboost_order_sensitivity_member,,OrderCat_same_seed_41,history_order_sensitivity_indicator_cat_interactions,OrderCat_same_seed_41,41,41,1.0,10.0,1,69444.0,199,60.49428204202559,1166.0,validation,default_0.5
0.15292983673132707,0.28342040024400506,0.7096231031205169,0.43732433951658234,0.2700451232211038,0.3339055793991416,0.7940415367261628,11189,2103,1001,778,history_catboost_order_sensitivity_member,,OrderCat_same_seed_41,history_order_sensitivity_indicator_cat_interactions,OrderCat_same_seed_41,41,41,1.0,10.0,1,69444.0,199,60.49428204202559,1166.0,validation,best_f1
0.09471981671577809,0.28342040024400506,0.7096231031205169,0.7414277684092186,0.1817305042711491,0.291911032422264,0.5754097272908234,7353,5939,460,1319,history_catboost_order_sensitivity_member,,OrderCat_same_seed_41,history_order_sensitivity_indicator_cat_interactions,OrderCat_same_seed_41,41,41,1.0,10.0,1,69444.0,199,60.49428204202559,1166.0,validation,best_f2
0.04345067661822963,0.28342040024400506,0.7096231031205169,0.9932546374367622,0.12,0.21412990790111489,0.13940680777652445,334,12958,12,1767,history_catboost_order_sensitivity_member,,OrderCat_same_seed_41,history_order_sensitivity_indicator_cat_interactions,OrderCat_same_seed_41,41,41,1.0,10.0,1,69444.0,199,60.49428204202559,1166.0,validation,max_recall_precision_ge_0.12
0.07150947449170304,0.28342040024400506,0.7096231031205169,0.8662169758291175,0.1500048671274214,0.25572519083969464,0.40481719859332493,4560,8732,238,1541,history_catboost_order_sensitivity_member,,OrderCat_same_seed_41,history_order_sensitivity_indicator_cat_interactions,OrderCat_same_seed_41,41,41,1.0,10.0,1,69444.0,199,60.49428204202559,1166.0,validation,max_recall_precision_ge_0.15
