experiment_type,feature_config,model_name,trial_number,negative_ratio,row_order_seed,model_seed,iterations,learning_rate,depth,l2_leaf_reg,random_strength,border_count,bootstrap_type,bagging_temperature,subsample,class_weight_mode,pos_weight_multiplier,n_columns,train_subset_rows,fit_seconds,best_iteration,objective,split,threshold_strategy,top_fraction,n_flagged,positives_captured,precision_at_k,recall_at_k,base_rate,lift
history_catboost_optuna,history_optuna_indicator_cat_interactions,OptunaCat_trial007,7,6.87818394723758,17,257,1200,0.021778642314280068,7,16.26030563734534,1.5401223401787298,254,Default,,,sqrt,,199,62238,56.36175066709984,1169,validation_pr_auc,test,ranking,0.01,149,71,0.47651006711409394,0.04342507645259939,0.1102643647154033,4.321523715698951
history_catboost_optuna,history_optuna_indicator_cat_interactions,OptunaCat_trial007,7,6.87818394723758,17,257,1200,0.021778642314280068,7,16.26030563734534,1.5401223401787298,254,Default,,,sqrt,,199,62238,56.36175066709984,1169,validation_pr_auc,test,ranking,0.05,742,252,0.33962264150943394,0.15412844036697249,0.1102643647154033,3.080076164099013
history_catboost_optuna,history_optuna_indicator_cat_interactions,OptunaCat_trial007,7,6.87818394723758,17,257,1200,0.021778642314280068,7,16.26030563734534,1.5401223401787298,254,Default,,,sqrt,,199,62238,56.36175066709984,1169,validation_pr_auc,test,ranking,0.1,1483,418,0.2818610923803102,0.25565749235474006,0.1102643647154033,2.556230139336538
history_catboost_optuna,history_optuna_indicator_cat_interactions,OptunaCat_trial007,7,6.87818394723758,17,257,1200,0.021778642314280068,7,16.26030563734534,1.5401223401787298,254,Default,,,sqrt,,199,62238,56.36175066709984,1169,validation_pr_auc,test,ranking,0.2,2966,667,0.224881995954147,0.40795107033639144,0.1102643647154033,2.0394802666716156
history_catboost_optuna,history_optuna_indicator_cat_interactions,OptunaCat_trial008,8,7.057211284390621,149,313,1200,0.023375171453549434,5,4.438995078738418,1.4627092631362961,254,Bernoulli,,0.9744459782763829,none,,199,63652,45.585297415964305,1175,validation_pr_auc,test,ranking,0.01,149,78,0.5234899328859061,0.047706422018348627,0.1102643647154033,4.747589434148144
history_catboost_optuna,history_optuna_indicator_cat_interactions,OptunaCat_trial008,8,7.057211284390621,149,313,1200,0.023375171453549434,5,4.438995078738418,1.4627092631362961,254,Bernoulli,,0.9744459782763829,none,,199,63652,45.585297415964305,1175,validation_pr_auc,test,ranking,0.05,742,252,0.33962264150943394,0.15412844036697249,0.1102643647154033,3.080076164099013
history_catboost_optuna,history_optuna_indicator_cat_interactions,OptunaCat_trial008,8,7.057211284390621,149,313,1200,0.023375171453549434,5,4.438995078738418,1.4627092631362961,254,Bernoulli,,0.9744459782763829,none,,199,63652,45.585297415964305,1175,validation_pr_auc,test,ranking,0.1,1483,410,0.27646662171274444,0.25076452599388377,0.1102643647154033,2.507307074468853
history_catboost_optuna,history_optuna_indicator_cat_interactions,OptunaCat_trial008,8,7.057211284390621,149,313,1200,0.023375171453549434,5,4.438995078738418,1.4627092631362961,254,Bernoulli,,0.9744459782763829,none,,199,63652,45.585297415964305,1175,validation_pr_auc,test,ranking,0.2,2966,653,0.22016183412002696,0.39938837920489295,0.1102643647154033,1.9966725849123912
history_catboost_optuna,history_optuna_indicator_cat_interactions,OptunaCat_trial009,9,6.539293652293959,17,313,1600,0.014444433333846153,6,8.928449522890341,1.631700196104433,64,Bernoulli,,0.8939477806142744,sqrt,,199,59560,63.87840475002304,1542,validation_pr_auc,test,ranking,0.01,149,74,0.4966442953020134,0.04525993883792049,0.1102643647154033,4.5041233093200335
history_catboost_optuna,history_optuna_indicator_cat_interactions,OptunaCat_trial009,9,6.539293652293959,17,313,1600,0.014444433333846153,6,8.928449522890341,1.631700196104433,64,Bernoulli,,0.8939477806142744,sqrt,,199,59560,63.87840475002304,1542,validation_pr_auc,test,ranking,0.05,742,252,0.33962264150943394,0.15412844036697249,0.1102643647154033,3.080076164099013
