experiment_type,feature_config,model_name,seed,depth,learning_rate,l2_leaf_reg,iterations,random_strength,bootstrap_type,n_columns,fit_seconds,best_iteration,split,threshold_strategy,top_fraction,n_flagged,positives_captured,precision_at_k,recall_at_k,base_rate,lift
history_catboost_seed_sweep,history_seed_sweep_indicator_cat_interactions,SeedSweep_d6_lr002_l230_seed202,202,6,0.02,30.0,1500,1.0,Default,199,68.18339445895981,1490,test,ranking,0.1,1483,416,0.2805124747134187,0.25443425076452597,0.1102643647154033,2.5439993731196164
history_catboost_seed_sweep,history_seed_sweep_indicator_cat_interactions,SeedSweep_d6_lr002_l230_seed202,202,6,0.02,30.0,1500,1.0,Default,199,68.18339445895981,1490,test,ranking,0.2,2966,654,0.22049898853674982,0.4,0.1102643647154033,1.9997302764666216
history_catboost_seed_sweep,history_seed_sweep_indicator_cat_interactions,SeedSweep_d6_lr002_l25_seed303,303,6,0.02,5.0,1500,1.0,Default,199,67.61498337506782,1285,test,ranking,0.01,149,77,0.5167785234899329,0.04709480122324159,0.1102643647154033,4.686722902941116
history_catboost_seed_sweep,history_seed_sweep_indicator_cat_interactions,SeedSweep_d6_lr002_l25_seed303,303,6,0.02,5.0,1500,1.0,Default,199,67.61498337506782,1285,test,ranking,0.05,742,248,0.33423180592991913,0.15168195718654434,0.1102643647154033,3.0311860662561716
history_catboost_seed_sweep,history_seed_sweep_indicator_cat_interactions,SeedSweep_d6_lr002_l25_seed303,303,6,0.02,5.0,1500,1.0,Default,199,67.61498337506782,1285,test,ranking,0.1,1483,404,0.2724207687120701,0.2470948012232416,0.1102643647154033,2.4706147758180887
history_catboost_seed_sweep,history_seed_sweep_indicator_cat_interactions,SeedSweep_d6_lr002_l25_seed303,303,6,0.02,5.0,1500,1.0,Default,199,67.61498337506782,1285,test,ranking,0.2,2966,657,0.22151045178691842,0.4018348623853211,0.1102643647154033,2.008903351129313
history_catboost_seed_sweep,history_seed_sweep_indicator_cat_interactions,SeedSweep_d6_lr002_l220_seed303,303,6,0.02,20.0,1500,1.0,Default,199,69.91406345798168,1439,test,ranking,0.01,149,81,0.5436241610738255,0.04954128440366973,0.1102643647154033,4.9301890277692255
history_catboost_seed_sweep,history_seed_sweep_indicator_cat_interactions,SeedSweep_d6_lr002_l220_seed303,303,6,0.02,20.0,1500,1.0,Default,199,69.91406345798168,1439,test,ranking,0.05,742,247,0.3328840970350404,0.1510703363914373,0.1102643647154033,3.0189635417954612
history_catboost_seed_sweep,history_seed_sweep_indicator_cat_interactions,SeedSweep_d6_lr002_l220_seed303,303,6,0.02,20.0,1500,1.0,Default,199,69.91406345798168,1439,test,ranking,0.1,1483,405,0.2730950775455158,0.24770642201834864,0.1102643647154033,2.4767301589265496
history_catboost_seed_sweep,history_seed_sweep_indicator_cat_interactions,SeedSweep_d6_lr002_l220_seed303,303,6,0.02,20.0,1500,1.0,Default,199,69.91406345798168,1439,test,ranking,0.2,2966,651,0.21948752528658125,0.3981651376146789,0.1102643647154033,1.9905572018039306
